1671829152216,B02y,3000000,0,0,3000000
1671829152231,B02y,3000000,-4000000,0,-1000000
1671829152232,B02y,3000000,-4000000,4000000,3000000
1671829152240,B02y,-1000000,-4000000,4000000,-1000000
1671829152246,B02y,-1000000,-3000000,4000000,0
1671829152265,B02y,-1000000,-3000000,1000000,-3000000
1671829152269,B02y,1000000,-3000000,1000000,-1000000
1671829152271,B02y,1000000,-4000000,1000000,-2000000
1671829152279,B02y,1000000,-4000000,5000000,2000000
1671829152280,B02y,0,-4000000,5000000,1000000
1671829152281,B03y,1000000,0,0,1000000
1671829152287,B03y,1000000,-1000000,0,0
1671829152288,B03y,1000000,-1000000,2000000,2000000
1671829152291,B03y,-2000000,-1000000,2000000,-1000000
1671829152305,B03y,-2000000,0,2000000,0
1671829152308,B03y,-2000000,0,0,-2000000
1671829152320,B03y,-1000000,0,0,-1000000
1671829152322,B03y,-1000000,-2000000,0,-3000000
1671829152347,B03y,-1000000,-2000000,3000000,0
1671829152355,B03y,-2000000,-2000000,3000000,-1000000
1671829152356,B05y,5000000,0,0,5000000
1671829152422,B05y,5000000,-4000000,0,1000000
1671829152476,B05y,5000000,-4000000,5000000,6000000
1671829152488,B05y,4000000,-4000000,5000000,5000000
1671829152504,B05y,4000000,-1000000,5000000,8000000
1671829152506,B05y,4000000,-1000000,4000000,7000000
1671829152507,B05y,9000000,-1000000,4000000,12000000
1671829152523,B05y,9000000,-6000000,4000000,7000000
1671829152531,B05y,9000000,-6000000,6000000,9000000
1671829152538,B05y,6000000,-6000000,6000000,6000000
1671829152545,B07y,4000000,0,0,4000000
1671829152546,B07y,4000000,-3000000,0,1000000
1671829152551,B07y,4000000,-3000000,5000000,6000000
1671829152552,B07y,3000000,-3000000,5000000,5000000
1671829152553,B07y,3000000,-2000000,5000000,6000000
1671829152554,B07y,3000000,-2000000,3000000,4000000
1671829152555,B07y,8000000,-2000000,3000000,9000000
1671829152564,B07y,8000000,-7000000,3000000,4000000
1671829152567,B07y,8000000,-7000000,5000000,6000000
1671829152568,B07y,4000000,-7000000,5000000,2000000
1671829152572,B10y,1000000,0,0,1000000
1671829152574,B10y,1000000,-3000000,0,-2000000
1671829152579,B10y,1000000,-3000000,3000000,1000000
1671829152582,B10y,0,-3000000,3000000,0
1671829152585,B10y,0,1000000,3000000,4000000
1671829152588,B10y,0,1000000,-1000000,0
1671829152589,B10y,1000000,1000000,-1000000,1000000
1671829152590,B10y,1000000,-1000000,-1000000,-1000000
1671829152591,B10y,1000000,-1000000,3000000,3000000
1671829152597,B10y,-3000000,-1000000,3000000,-1000000
1671829152599,B20y,1000000,0,0,1000000
1671829152600,B20y,1000000,-4000000,0,-3000000
1671829152601,B20y,1000000,-4000000,4000000,1000000
1671829152607,B20y,-2000000,-4000000,4000000,-2000000
1671829152612,B20y,-2000000,-1000000,4000000,1000000
1671829152616,B20y,-2000000,-1000000,-1000000,-4000000
1671829152619,B20y,-1000000,-1000000,-1000000,-3000000
1671829152621,B20y,-1000000,-2000000,-1000000,-4000000
1671829152630,B20y,-1000000,-2000000,3000000,0
1671829152633,B20y,-4000000,-2000000,3000000,-3000000
1671829152635,B30y,5000000,0,0,5000000
1671829152636,B30y,5000000,-2000000,0,3000000
1671829152636,B30y,5000000,-2000000,3000000,6000000
1671829152637,B30y,3000000,-2000000,3000000,4000000
1671829152638,B30y,3000000,-1000000,3000000,5000000
1671829152640,B30y,3000000,-1000000,0,2000000
1671829152641,B30y,7000000,-1000000,0,6000000
1671829152653,B30y,7000000,-6000000,0,1000000
1671829152655,B30y,7000000,-6000000,4000000,5000000
1671829152656,B30y,2000000,-6000000,4000000,0
