1671829152957,B05y,99.7305,0.015625
1671829153303,B30y,99.668,0.015625
1671829153606,B10y,100.426,0.015625
1671829153931,B02y,100.578,0.015625
1671829154233,B02y,100.48,0.0078125
1671829154539,B05y,99.5508,0.015625
1671829154839,B10y,100.352,0.015625
1671829155140,B02y,99.7266,0.0078125
1671829155441,B20y,100.324,0.015625
1671829155742,B02y,100.418,0.0078125
1671829156043,B07y,100.883,0.0078125
1671829156344,B07y,100.477,0.015625
1671829156645,B03y,99.3477,0.0078125
1671829156950,B03y,100.387,0.015625
1671829157251,B07y,99.4414,0.0078125
1671829157552,B05y,100.641,0.015625
1671829157853,B30y,100.535,0.0078125
1671829158158,B03y,100.883,0.015625
1671829158460,B02y,100.539,0.0078125
1671829158760,B07y,100.32,0.0078125
1671829159061,B07y,100.477,0.015625
1671829159362,B10y,99.4492,0.0078125
1671829159663,B07y,100.445,0.015625
1671829159965,B10y,99.4414,0.0078125
1671829160266,B20y,99.6992,0.015625
1671829160567,B02y,99.9219,0.0078125
1671829160868,B30y,99.3906,0.0078125
1671829161169,B10y,100.445,0.0078125
1671829161470,B20y,99.4844,0.0078125
1671829161771,B10y,99.6406,0.0078125
1671829162072,B07y,99.7969,0.015625
1671829162373,B10y,99.3633,0.015625
1671829162674,B05y,99.5078,0.0078125
1671829162976,B03y,99.9219,0.0078125
1671829163277,B30y,100.668,0.0078125
1671829163578,B30y,99.3555,0.0078125
1671829163879,B07y,99.8516,0.0078125
1671829164180,B30y,99.918,0.0078125
1671829164481,B10y,100.645,0.015625
1671829164782,B30y,99.332,0.015625
1671829165083,B20y,99.3633,0.015625
1671829165384,B30y,100.82,0.015625
1671829165685,B05y,99.4844,0.0078125
1671829165986,B30y,100.668,0.0078125
1671829166287,B05y,99.3945,0.015625
1671829166588,B05y,99.8867,0.015625
1671829166889,B02y,100.676,0.015625
1671829167190,B02y,100.855,0.015625
1671829167491,B02y,100.328,0.0078125
1671829167793,B05y,100.672,0.0078125
1671829168093,B02y,99.957,0.015625
1671829168394,B20y,100.363,0.015625
1671829168695,B10y,99.7891,0.0078125
1671829168996,B07y,100.598,0.0078125
1671829169297,B30y,99.6016,0.015625
1671829169598,B20y,99.7266,0.0078125
1671829169899,B02y,99.9453,0.0078125
1671829170200,B05y,99.3594,0.0078125
1671829170501,B10y,99.7031,0.0078125
1671829170802,B20y,100.945,0.015625
1671829171103,B02y,99.7031,0.015625
1671829171404,B07y,100.793,0.0078125
1671829171705,B10y,100.383,0.015625
1671829172006,B07y,99.5156,0.015625
1671829172307,B07y,100.629,0.0078125
1671829172610,B05y,100.316,0.0078125
1671829172910,B07y,99.793,0.015625
1671829173211,B07y,99.3594,0.015625
