1671829152218,B02y,60000
1671829152232,B02y,-20000
1671829152233,B02y,60000
1671829152241,B02y,-20000
1671829152247,B02y,0
1671829152265,B02y,-60000
1671829152269,B02y,-20000
1671829152271,B02y,-40000
1671829152279,B02y,40000
1671829152280,B02y,20000
1671829152282,B03y,20000
1671829152287,B03y,0
1671829152289,B03y,40000
1671829152291,B03y,-20000
1671829152306,B03y,0
1671829152308,B03y,-40000
1671829152320,B03y,-20000
1671829152322,B03y,-60000
1671829152348,B03y,0
1671829152355,B03y,-20000
1671829152357,B05y,100000
1671829152423,B05y,20000
1671829152477,B05y,120000
1671829152489,B05y,100000
1671829152504,B05y,160000
1671829152506,B05y,140000
1671829152507,B05y,240000
1671829152523,B05y,140000
1671829152531,B05y,180000
1671829152538,B05y,120000
1671829152545,B07y,80000
1671829152547,B07y,20000
1671829152551,B07y,120000
1671829152552,B07y,100000
1671829152553,B07y,120000
1671829152554,B07y,80000
1671829152555,B07y,180000
1671829152565,B07y,80000
1671829152567,B07y,120000
1671829152569,B07y,40000
1671829152572,B10y,20000
1671829152576,B10y,-40000
1671829152579,B10y,20000
1671829152583,B10y,0
1671829152586,B10y,80000
1671829152588,B10y,0
1671829152589,B10y,20000
1671829152590,B10y,-20000
1671829152595,B10y,60000
1671829152598,B10y,-20000
1671829152599,B20y,20000
1671829152600,B20y,-60000
1671829152601,B20y,20000
1671829152607,B20y,-40000
1671829152612,B20y,20000
1671829152616,B20y,-80000
1671829152620,B20y,-60000
1671829152621,B20y,-80000
1671829152630,B20y,0
1671829152634,B20y,-60000
1671829152635,B30y,100000
1671829152636,B30y,60000
1671829152637,B30y,120000
1671829152638,B30y,80000
1671829152639,B30y,100000
1671829152640,B30y,40000
1671829152641,B30y,120000
1671829152653,B30y,20000
1671829152655,B30y,100000
1671829152656,B30y,0
